Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
interstellar,0.3,English,169,8.7,Live Action,"Adventure, drama, sci-fi",1,1,1,1,1,1,0,0,1,0,0,0,0,1,Matthew David McConaughey,Anne Jacqueline Hathaway,Christopher Nolan,165,773.8,36314005,202,8.5,20000,Blockbuster
thedarkknight,0.4,English,152,9,Live Action,"Action,crime,drama",0,1,1,1,1,1,0,0,1,0,0,0,1,0,Christian Bale,Anne Hathaway,Christopher Nolan,18.5,100.6,180000000,185,9.4,4300,Hit
theekenruddhaswasrajasthan,0.238095238095238,Bengali,121,6.7,Live Action,"Mystery, Thriller",0,1,0,0,0,0,0,1,0,0,1,0,1,0,Anirban Chakrabarti,,Joydeep Mukherjee,5,3.5,1419093,92,6.2,500,Superhit
lagaanonceuponatimeinindia,,Hindi,224,8.1,Live Action,"Drama, Musical, Sport",0,1,1,1,0,0,1,1,0,1,1,0,1,0,Aamir Khan,Gracy Singh,Ashutosh Gowariker,25,65.97,10460532,86,7.5,3000,Blockbuster
ramsetu,,Hindi,143,5.2,Live Action,"Action, adventure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Akshay Kumar,Jacqueline Fernandez,Abhishek Sharma,150,92.94,41621819,796,7,3100,Flop
pathaan,0,Hindi,146,5.9,Live Action,"Action, Thriller,Adventure",0,1,1,1,0,1,0,0,0,0,0,0,0,0,Shah Rukh Khan,Deepika Padukone,Siddharth Anand,225,1050.3,95215450,2400,8,6000,Blockbuster
raone,0.3,Hindi,156,4.7,Live Action,"Action, Adventure, Sci-fi",0,0,1,1,0,1,1,1,0,0,1,0,0,1,Shah Rukh Khan,Kareena Kapore,Anubhav Sinha,150,207,2284960,11,6,5000,Flop
kgf2,,Other Regional,168,8.3,Live Action,"Action, thriller, historical drama,crime",1,1,1,1,1,1,0,0,1,1,0,0,0,1,Yash,Srinidhi Shetty,Prashanth Neel,100,1250,270209447,9800,8,10000,Blockbuster
thekashmirfiles,,Hindi,170,8.7,Live Action,"Drama, History",0,1,0,0,0,0,0,0,0,0,0,0,1,0,Anupam Kher,Pallavi Joshi,Vivek Agnihotri,20,340.92,52759423,1700,8.1,4000,Blockbuster
missionmangal,,Hindi,127,6.5,Live Action,"Drama, sci-fi",0,1,1,0,0,1,1,0,0,0,1,0,0,1,Akshay Kumar,Vidya Balan,Jagan Shakti,70,291.95,52518821,1100,9,3000,Blockbuster
