Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
interstellar,0.3,English,169,8.7,Live Action,"Adventure, drama, sci-fi",1,1,1,1,1,1,0,0,1,0,0,0,0,1,Matthew David McConaughey,Anne Jacqueline Hathaway,Christopher Nolan,165.0,773.8,"36,314,005",202,8.5,>20000,Blockbuster
thedarkknight,0.4,English,152,9.0,Live Action,"Action,crime,drama",0,1,1,1,1,1,0,0,1,0,0,0,1,0,Christian Bale,Anne Hathaway,Christopher Nolan,18.5,100.6,180000000,185,9.4,>4300,Hit
theekenruddhaswasrajasthan,0.238095238095238,Bengali,121,6.7,Live Action,"Mystery, Thriller",0,1,0,0,0,0,0,1,0,0,1,0,1,0,Anirban Chakrabarti,,Joydeep Mukherjee,5.0,3.5,"1,419,093",92,6.2,>500,Superhit
lagaanonceuponatimeinindia,,Hindi,224,8.1,Live Action,"Drama, Musical, Sport",0,1,1,1,0,0,1,1,0,1,1,0,1,0,Aamir Khan,Gracy Singh,Ashutosh Gowariker,25.0,65.97,"10,460,532",86,7.5,>3000,Blockbuster
ramsetu,,Hindi,143,5.2,Live Action,"Action, adventure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Akshay Kumar,Jacqueline Fernandez,Abhishek Sharma,150.0,92.94,"41,621,819",796,7.0,>3100,Flop
pathaan,0.0,Hindi,146,5.9,Live Action,"Action, Thriller,Adventure",0,1,1,1,0,1,0,0,0,0,0,0,0,0,Shah Rukh Khan,Deepika Padukone,Siddharth Anand,225.0,1050.3,"95,215,450",2400,8.0,>6000,Blockbuster
raone,0.3,Hindi,156,4.7,Live Action,"Action, Adventure, Sci-fi",0,0,1,1,0,1,1,1,0,0,1,0,0,1,Shah Rukh Khan,Kareena Kapore,Anubhav Sinha,150.0,207.0,"2,284,960",11,6.0,>5000,Flop
kgf2,,Other Regional,168,8.3,Live Action,"Action, thriller, historical drama,crime",1,1,1,1,1,1,0,0,1,1,0,0,0,1,Yash,Srinidhi Shetty,Prashanth Neel,100.0,1250.0,"270,209,447",9800,8.0,>10000,Blockbuster
thekashmirfiles,,Hindi,170,8.7,Live Action,"Drama, History",0,1,0,0,0,0,0,0,0,0,0,0,1,0,Anupam Kher,Pallavi Joshi,Vivek Agnihotri,20.0,340.92,"52,759,423",1700,8.1,>4000,Blockbuster
missionmangal,,Hindi,127,6.5,Live Action,"Drama, sci-fi",0,1,1,0,0,1,1,0,0,0,1,0,0,1,Akshay Kumar,"Vidya Balan, Taapsee Pannu, Sonakshi Sinha, Kirti Kulhari, Nithya Menen",Jagan Shakti,70.0,291.95,"52,518,821",1100,9.0,>3000,Blockbuster
evildeadrise,0.4,English,97,6.7,Live Action,"Horror, fantasy",1,1,0,1,1,1,0,0,1,0,0,1,1,1,,"Lily Sullivan, Alyssa Sutherland",Lee Cronin,17.0,146.3,"19,054,878",81,8.0,>3000,Superhit
ballabhpurerroopkotha,0.4761904761904761,Bengali,136,8.1,Live Action,"Supernatural, comedy, drama, romance",0,1,1,0,0,0,1,1,0,0,1,0,0,0,Satyam Bhattacharya ,Surangana Bandyopadhyay ,Anirban Bhattacharya,3.0,5.01,"5,416,555",16,7.7,>2000,Hit
suzumenotojimari,0.5238095238095238,Other Regional,122,7.8,Animated,"Adventure, fantasy, sci-fi, romance",0,1,1,0,0,0,0,0,1,0,0,0,1,0,Hokuto Matsumura ,Nanoka Hara ,Makoto Shinkai,30.0,324.0,"1,963,144",37,10.0,>7500,Blockbuster
yehjawaanihaideewani,,Hindi,161,7.2,Live Action,"Comedy, Drama,Musical",0,1,1,0,0,0,1,1,0,0,1,0,0,0,Ranbir Kapoor ,Deepika Padukone ,Ayan Mukerji ,40.0,320.0,"10,460,532",86,7.0,>5000,Blockbuster
parinotafairytale,,Hindi,134,6.6,Live Action,"Fantasy, Horror, Mystery",0,1,1,0,0,0,0,1,0,0,0,1,1,0,Parambrata Chatterjee,Anushka Sharma,Prosit Roy,30.0,41.4,"76,601",1,6.1,>500,Average
jabwemet,,Hindi,139,7.9,Live Action,"Romance, Comedy, Drama",0,1,1,0,0,0,0,1,1,0,0,1,1,0,Shahid Kapoor ,Kareena Kapoor Khan ,Imtiaz Ali,15.0,50.9,"10,490,521",82,7.0,>1000,Superhit
herapheri,,Hindi,138,8.1,Live Action,"Comedy, Drama",0,1,1,0,0,1,0,0,0,0,1,0,1,0,"Akshay Kumar, Sunil Shetty, Parash Rawal",Tabu,Priyadarshan,7.5,21.4,28000000,2100,2.0,>200,Average
phirherapheri,,Hindi,153,7.2,Live Action,"Comedy, Drama",0,1,1,0,0,1,0,0,0,0,1,0,1,0,"Akshay Kumar, Sunil Shetty, Parash Rawal",,Neeraj Vora,18.0,69.12,11000000,131,2.0,>500,Superhit
omgohmygod,0.3,Hindi,130,8.1,Live Action,"Comedy, Drama, Fantasy",0,1,0,0,1,1,0,0,0,0,0,1,0,0,"Akshay Kumar, Parash Rawal",,Umesh Shukla,25.0,193.0,"11,293,725",44,9.0,>1000,Superhit
loveaajkal,0.238095238095238,Hindi,141,4.7,Live Action,"Romantic, drama",0,1,1,0,0,0,0,0,0,0,1,0,0,0,Kartik Aaryan,Sara Ali Khan,Imtiaz Ali,58.0,50.04,"50,047,547",708,8.0,>3000,Flop
raazi,0.35,Hindi,140,7.7,Live Action,"Action, Drama, Thriller",0,1,1,0,0,0,0,1,0,0,1,0,1,0,Vicky Kaushal,Alia Bhatt,Meghna Gulzar,37.0,197.0,"32,439,874",334,7.2,>1500,Superhit
welcome,0.3333333333333333,Hindi,158,7.0,Live Action,"Comedy, Drama",0,1,1,0,1,0,0,1,0,0,1,0,1,0,Akshay Kumar,Katrina Kaif,Anees Bazmee,32.0,119.49,17000000,179,6.0,>1000,Superhit
welcomeback,,Hindi,152,4.3,Live Action,"Comedy, Drama",0,1,1,0,1,0,0,1,0,0,1,0,1,0,John Abraham,Shruti Haasan,Anees Bazmee,88.0,168.76,"9,223,509",28,5.1,>3000,Average
urithesurgicalstrike,0.25,Hindi,138,8.2,Live Action,"Action, Drama, War",0,1,1,0,0,1,0,0,0,0,0,0,0,0,Vicky Kaushal,Yami Gautam,Aditya Dhar,25.0,359.73,"29,562,195",590,9.0,>1500,Blockbuster
thetashkentfiles,,Hindi,144,8.1,Live Action,"Drama, History",0,1,0,0,0,0,0,0,1,0,0,0,1,0,Mithun Chakraborty,Shweta Basu Prasad,Vivek Agnihotri,4.0,20.84,"11,325,189",250,8.9,>300,Hit
shahjahanregency,0.25,Bengali,156,6.6,Live Action,Drama,0,1,1,0,0,0,0,1,0,0,0,0,1,0,Parambrata Chatterjee,,Srijit Mukherjee,4.0,5.01,"939,784",17,9.2,>1000,Superhit
stree,,Hindi,128,7.5,Live Action,"Comedy, Horror",0,1,1,0,1,0,0,0,1,0,1,1,1,0,Rajkumar Rao,Shraddha Kapoor,Amar Kaushik,14.0,180.76,"54,745,957",424,7.2,>1500,Superhit
singham,0.3,Hindi,143,6.8,Live Action,"Action, Crime, Drama",0,1,1,0,1,1,0,0,1,0,1,0,1,0,Ajay Devgan,Kajal Agarwaal,Rohit Shetty,41.0,157.0,"8,111,492",21,8.9,>2000,Superhit
thelionking,0.25,English,118,6.8,Animated,"Fantasy, Adventure, Musical",1,0,1,1,0,1,1,1,1,0,1,0,0,1,Donald Glover,Beyoncé Giselle Knowles-Carter,Jon Favreau,260.0,1647.73,"74,575,570",781,9.2,>10000,Blockbuster
rajkahini,0.35,Bengali,160,7.2,Live Action,"Drama, History",0,1,1,0,1,0,0,1,1,0,0,0,1,0,"Saswata Chatterjee, Jisshu Sengupta, Kaushik Sen, Abir Chatterjee","Rituparna Sengupta, Jaya Ahsan, Lily Chakravarty, Parno Mittra ",Srijit Mukherjee,3.5,7.0,"2,003,443",10,9.2,>1000,Superhit
noproblem,,Hindi,140,4.4,Live Action,"Action, Comedy, Crime",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Anil Kapoor, Sanjay Dutt, Sunil Shetty",Sushmita Sen,Anees Bazmee,35.0,48.7,"1,323,166",1.1,6.0,>1000,Flop
kahaani,,Hindi,122,8.1,Live Action,"Mystery, Thriller",0,1,1,1,1,1,0,1,1,0,1,0,1,0,Parambrata Chatterjee,Vidya Balan,Sujoy Ghosh,20.0,91.71,"583,861",5.9,9.1,>1000,Hit
hemlocksociety,0.3,Bengali,141,7.5,Live Action,"Comedy, Drama, Romance",0,1,1,1,1,0,0,1,1,0,1,0,1,0,Parambrata Chatterjee,Koyel Mallick,Srijit Mukherjee,2.1,7.02,"630,107",5.6,8.5,>500,Hit
gumnaami,0.25,Bengali,142,7.8,Live Action,"Drama, History",0,1,1,0,1,0,0,0,1,0,1,0,1,0,"Anirban Bhattacharya, Prosenjit Chatterjee",Tanusree Chakraborty,Srijit Mukherjee,2.8,6.7,"937,932",33,8.1,>500,Superhit
gold,0.25,Hindi,151,7.3,Live Action,"Drama, History, Sport",0,1,1,1,0,0,0,0,0,1,0,0,0,0,Akshay Kumar,Mouni Roy,Reema Kagti,75.0,158.54,"39,110,376",439,7.0,>3000,Average
